permno
10001
10025
10026
10028
10032
10044
10051
10066
10104
10107
10116
10138
10145
10147
10158
10180
10182
10200
10220
10225
10232
10239
10252
10253
10257
10258
10259
10294
10297
10299
10302
10308
10318
10333
10353
10355
10363
10375
10382
10395
10397
10421
10443
10463
10501
10507
10514
10516
10517
10530
10547
10550
10606
10629
10645
10649
10656
10659
10661
10667
10693
10696
10777
10779
10781
10812
10838
10853
10860
10866
10874
10886
10890
10892
10901
10909
10913
10932
10933
10966
11006
11018
11043
11056
11131
11144
11153
11154
11174
11208
11246
11267
11275
11285
11292
11293
11308
11343
11348
11368
11369
11370
11378
11379
11394
11397
11403
11404
11441
11442
11481
11499
11511
11513
11533
11547
11552
11565
11581
11587
11593
11599
11600
11618
11628
11636
11638
11641
11644
11654
11664
11674
11691
11701
11703
11707
11731
11748
11750
11752
11775
11781
11786
11790
11803
11809
11825
11844
11850
11884
11891
11896
11955
11990
11992
11995
11999
12008
12009
12011
12017
12025
12026
12030
12036
12049
12051
12052
12060
12062
12068
12073
12078
12080
12085
12088
12089
12146
12149
12166
12169
12173
12189
12190
12209
12211
12217
12226
12248
12266
12307
12308
12310
12312
12330
12340
12347
12348
12349
12350
12356
12358
12360
12362
12363
12364
12366
12369
12373
12374
12380
12384
12389
12392
12400
12402
12406
12410
12413
12437
12440
12446
12448
12449
12450
12451
12452
12473
12476
12477
12480
12484
12485
12486
12487
12488
12490
12493
12494
12496
12497
12498
12501
12502
12503
12509
12515
12521
12527
12557
12558
12559
12570
12573
12574
12575
12577
12579
12580
12583
12585
12586
12588
12591
12592
12615
12622
12623
12629
12637
12639
12640
12641
12645
12650
12660
12667
12688
12691
12695
12696
12698
12742
12758
12760
12781
12783
12785
12788
12789
12792
12795
12796
12797
12798
12835
12840
12865
12872
12873
12877
12880
12881
12882
12883
12884
12887
12894
12903
12905
12906
12908
12913
12914
12915
12916
12919
12920
12921
12922
12924
12927
12928
12959
12960
12963
12967
12971
12981
13006
13007
13008
13009
13014
13018
13019
13035
13036
13037
13041
13046
13049
13080
13081
13084
13085
13105
13106
13107
13108
13109
13110
13111
13112
13113
13116
13121
13124
13139
13141
13159
13160
13167
13168
13169
13181
13188
13196
13198
13201
13202
13203
13210
13225
13244
13249
13250
13253
13260
13261
13262
13263
13264
13265
13267
13278
13279
13280
13284
13285
13292
13298
13299
13302
13303
13305
13314
13316
13318
13323
13324
13325
13326
13328
13329
13330
13337
13340
13342
13343
13349
13356
13367
13369
13372
13373
13374
13375
13377
13378
13379
13384
13385
13399
13400
13402
13407
13408
13409
13410
13411
13412
13429
13430
13447
13453
13454
13455
13456
13502
